timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624834659229,11915,Upadate Album,200,,jp@gc - Load Thread Group 1-78,text,true,,369191,1419,100,100,http://localhost:8082/update?x=albums,1731,0,7
1624834659229,1732,Upadate Album-0,200,,jp@gc - Load Thread Group 1-78,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,1731,0,7
1624834660962,621,Upadate Album-1,200,,jp@gc - Load Thread Group 1-78,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,125,0,0
1624834661587,735,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-78,text,true,,161424,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,338,0,227
1624834663387,4561,Upadate Album-3,200,,jp@gc - Load Thread Group 1-78,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,4560,0,0
1624834667948,1122,Upadate Album-4,200,,jp@gc - Load Thread Group 1-78,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,1122,0,0
1624834669071,651,Upadate Album-5,200,,jp@gc - Load Thread Group 1-78,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,651,0,0
1624834669723,756,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-78,text,true,,72838,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,629,0,534
1624834670481,423,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-78,text,true,,22194,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,423,0,242
1624834670905,239,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-78,text,true,,61156,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,229,0,0
1624834664352,6691,Upadate Album,200,,jp@gc - Load Thread Group 1-27,text,true,,369271,1419,100,100,http://localhost:8082/update?x=albums,192,0,113
1624834664352,192,Upadate Album-0,200,,jp@gc - Load Thread Group 1-27,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,192,0,113
1624834664545,640,Upadate Album-1,200,,jp@gc - Load Thread Group 1-27,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,259,0,0
1624834665192,1034,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-27,text,true,,161456,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,307,0,160
1624834666231,403,Upadate Album-3,200,,jp@gc - Load Thread Group 1-27,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,399,0,0
1624834666635,1691,Upadate Album-4,200,,jp@gc - Load Thread Group 1-27,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,1691,0,0
1624834668325,1307,Upadate Album-5,200,,jp@gc - Load Thread Group 1-27,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,1307,0,0
1624834669633,690,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-27,text,true,,72862,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,605,0,319
1624834670355,450,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-27,text,true,,22194,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,428,0,290
1624834670805,237,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-27,text,true,,61180,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,193,0,0
1624834659219,12187,Upadate Album,200,,jp@gc - Load Thread Group 1-79,text,true,,369191,1419,100,100,http://localhost:8082/update?x=albums,12,0,2
1624834659219,12,Upadate Album-0,200,,jp@gc - Load Thread Group 1-79,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,12,0,2
1624834659233,2357,Upadate Album-1,200,,jp@gc - Load Thread Group 1-79,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,1866,0,0
1624834661591,697,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-79,text,true,,161424,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,291,0,196
1624834663388,3595,Upadate Album-3,200,,jp@gc - Load Thread Group 1-79,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,3594,0,0
1624834666984,1085,Upadate Album-4,200,,jp@gc - Load Thread Group 1-79,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,1085,0,0
1624834668068,1645,Upadate Album-5,200,,jp@gc - Load Thread Group 1-79,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,1645,0,0
1624834669713,889,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-79,text,true,,72838,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,650,0,553
1624834670603,524,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-79,text,true,,22194,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,524,0,301
1624834671127,279,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-79,text,true,,61156,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,157,0,0
1624834663022,7991,Upadate Album,200,,jp@gc - Load Thread Group 1-42,text,true,,369262,1419,100,100,http://localhost:8082/update?x=albums,22,0,2
1624834663022,22,Upadate Album-0,200,,jp@gc - Load Thread Group 1-42,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,22,0,2
