timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624641205846,25695,Upadate Album,200,,jp@gc - Load Thread Group 1-60,text,true,,369262,1419,100,100,http://localhost:8082/update?x=albums,8560,0,22
1624641205846,8560,Upadate Album-0,200,,jp@gc - Load Thread Group 1-60,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,8560,0,22
1624641203778,17900,Upadate Album,200,,jp@gc - Load Thread Group 1-75,text,true,,369238,1419,100,100,http://localhost:8082/update?x=albums,16,0,7
1624641214406,2305,Upadate Album-1,200,,jp@gc - Load Thread Group 1-60,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,2040,0,0
1624641201757,18672,Upadate Album,200,,jp@gc - Load Thread Group 1-95,text,true,,369222,1419,100,100,http://localhost:8082/update?x=albums,36,0,2
1624641203778,16,Upadate Album-0,200,,jp@gc - Load Thread Group 1-75,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,16,0,7
1624641216721,996,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-60,text,true,,161448,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,649,0,530
1624641201757,37,Upadate Album-0,200,,jp@gc - Load Thread Group 1-95,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,36,0,2
1624641203796,691,Upadate Album-1,200,,jp@gc - Load Thread Group 1-75,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,29,0,0
1624641217751,1685,Upadate Album-3,200,,jp@gc - Load Thread Group 1-60,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,1685,0,0
1624641201902,2744,Upadate Album-1,200,,jp@gc - Load Thread Group 1-95,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,126,0,0
1624641204489,1302,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-75,text,true,,161448,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,885,0,621
1624641219436,3971,Upadate Album-4,200,,jp@gc - Load Thread Group 1-60,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,3971,0,0
1624641204649,1163,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-95,text,true,,161424,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,883,0,708
1624641205843,25788,Upadate Album,200,,jp@gc - Load Thread Group 1-56,text,true,,369205,1419,100,100,http://localhost:8082/update?x=albums,7739,0,1
1624641206535,8397,Upadate Album-3,200,,jp@gc - Load Thread Group 1-95,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,8396,0,0
1624641205843,7739,Upadate Album-0,200,,jp@gc - Load Thread Group 1-56,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,7739,0,1
1624641214933,1069,Upadate Album-4,200,,jp@gc - Load Thread Group 1-95,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,1069,0,0
1624641213583,4220,Upadate Album-1,200,,jp@gc - Load Thread Group 1-56,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,3350,0,0
1624641216003,489,Upadate Album-5,200,,jp@gc - Load Thread Group 1-95,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,489,0,0
1624641217804,2979,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-56,text,true,,161431,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,2627,0,2538
1624641216534,448,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-95,text,true,,72862,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,386,0,316
1624641220802,1302,Upadate Album-3,200,,jp@gc - Load Thread Group 1-56,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,1294,0,0
1624641217000,3254,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-95,text,true,,22193,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,3244,0,3030
1624641222103,1230,Upadate Album-4,200,,jp@gc - Load Thread Group 1-56,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,1230,0,0
1624641223333,69,Upadate Album-5,200,,jp@gc - Load Thread Group 1-56,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,69,0,0
1624641220254,175,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-95,text,true,,61164,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,125,0,0
1624641223403,4402,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-56,text,true,,72838,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,2533,0,1852
1624641227887,3435,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-56,text,true,,22193,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,3380,0,2578
1624641231322,309,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-56,text,true,,61164,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,221,0,0
1624641223407,86,Upadate Album-5,200,,jp@gc - Load Thread Group 1-60,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,86,0,0
1624641223493,4273,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-60,text,true,,72862,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,4273,0,2029
1624641227893,3014,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-60,text,true,,22193,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,3014,0,2526
1624641230907,634,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-60,text,true,,61180,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,634,0,0
1624641203257,22072,Upadate Album,200,,jp@gc - Load Thread Group 1-80,text,true,,369270,1419,100,100,http://localhost:8082/update?x=albums,13,0,5
1624641203257,13,Upadate Album-0,200,,jp@gc - Load Thread Group 1-80,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,13,0,5
