timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624631531470,59030,Upadate Album,200,,jp@gc - spike Thread Group 1-298,text,false,"The operation lasted too long: It took 59,030 milliseconds, but should not have lasted longer than 40,000 milliseconds.",369262,1419,298,298,http://localhost:8082/update?x=albums,2294,0,4
1624631531470,2294,Upadate Album-0,200,,jp@gc - spike Thread Group 1-298,text,true,,3393,131,298,298,http://localhost:8082/update?x=albums,2294,0,4
1624631541135,37049,Upadate Album,200,,jp@gc - spike Thread Group 1-485,text,true,,369246,1419,298,298,http://localhost:8082/update?x=albums,8157,0,855
1624631541183,54955,Upadate Album,200,,jp@gc - spike Thread Group 1-421,text,false,"The operation lasted too long: It took 54,955 milliseconds, but should not have lasted longer than 40,000 milliseconds.",369270,1419,298,298,http://localhost:8082/update?x=albums,19512,0,2696
1624631541183,19512,Upadate Album-0,200,,jp@gc - spike Thread Group 1-421,text,true,,3393,131,298,298,http://localhost:8082/update?x=albums,19512,0,2696
1624631560696,10683,Upadate Album-1,200,,jp@gc - spike Thread Group 1-421,text,true,,5361,269,298,298,http://localhost:8082/css/style.css,3620,0,0
1624631572906,8661,Upadate Album-2,200,OK,jp@gc - spike Thread Group 1-421,text,true,,161455,165,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,6131,0,6020
1624631582657,16,Upadate Album-3,200,,jp@gc - spike Thread Group 1-421,bin,true,,38483,133,298,298,http://localhost:8082/img/choonzimg.png,12,0,0
1624631582674,4,Upadate Album-4,200,,jp@gc - spike Thread Group 1-421,text,true,,3097,128,298,298,http://localhost:8082/js/update.js,4,0,0
1624631582688,47,Upadate Album-5,200,,jp@gc - spike Thread Group 1-421,text,true,,1245,128,298,298,http://localhost:8082/js/mutual.js,47,0,0
1624631585286,5750,Upadate Album-6,200,OK,jp@gc - spike Thread Group 1-421,text,true,,72862,141,298,298,https://code.jquery.com/jquery-3.5.1.slim.min.js,5307,0,4323
1624631591043,4541,Upadate Album-7,200,OK,jp@gc - spike Thread Group 1-421,text,true,,22194,161,298,298,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,4494,0,4331
1624631595584,553,Upadate Album-8,200,OK,jp@gc - spike Thread Group 1-421,text,true,,61180,163,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,513,0,0
1624631533766,2598,Upadate Album-1,200,,jp@gc - spike Thread Group 1-298,text,true,,5361,269,298,298,http://localhost:8082/css/style.css,1030,0,0
1624631541135,8157,Upadate Album-0,200,,jp@gc - spike Thread Group 1-485,text,true,,3393,131,298,298,http://localhost:8082/update?x=albums,8157,0,855
1624631536410,1189,Upadate Album-2,200,OK,jp@gc - spike Thread Group 1-298,text,true,,161448,165,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,971,0,519
1624631543774,10074,Upadate Album-3,200,,jp@gc - spike Thread Group 1-298,bin,true,,38483,133,298,298,http://localhost:8082/img/choonzimg.png,10074,0,0
1624631555244,6114,Upadate Album-4,200,,jp@gc - spike Thread Group 1-298,text,true,,3097,128,298,298,http://localhost:8082/js/update.js,6114,0,0
1624631561358,4826,Upadate Album-5,200,,jp@gc - spike Thread Group 1-298,text,true,,1245,128,298,298,http://localhost:8082/js/mutual.js,4826,0,0
1624631572300,6504,Upadate Album-6,200,OK,jp@gc - spike Thread Group 1-298,text,true,,72862,141,298,298,https://code.jquery.com/jquery-3.5.1.slim.min.js,6497,0,1324
1624631579260,9666,Upadate Album-7,200,OK,jp@gc - spike Thread Group 1-298,text,true,,22193,161,298,298,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,9664,0,9136
1624631588954,1544,Upadate Album-8,200,OK,jp@gc - spike Thread Group 1-298,text,true,,61180,163,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,515,0,0
1624631549294,8918,Upadate Album-1,200,,jp@gc - spike Thread Group 1-485,text,true,,5361,269,298,298,http://localhost:8082/css/style.css,6055,0,0
1624631558212,944,Upadate Album-2,200,OK,jp@gc - spike Thread Group 1-485,text,true,,161448,165,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,371,0,336
1624631559230,1887,Upadate Album-3,200,,jp@gc - spike Thread Group 1-485,bin,true,,38483,133,298,298,http://localhost:8082/img/choonzimg.png,1887,0,0
1624631561117,2450,Upadate Album-4,200,,jp@gc - spike Thread Group 1-485,text,true,,3097,128,298,298,http://localhost:8082/js/update.js,2450,0,0
1624631563571,2606,Upadate Album-5,200,,jp@gc - spike Thread Group 1-485,text,true,,1245,128,298,298,http://localhost:8082/js/mutual.js,2606,0,0
