timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,IdleTime,Connect
1624855182119,909,Upadate Album,200,,jp@gc - Stress Thread Group 1-150,text,true,,369199,1419,32,32,http://localhost:8082/update?x=albums,,6,1,0,0,2
1624855182119,6,Upadate Album-0,200,,jp@gc - Stress Thread Group 1-150,text,true,,3393,131,32,32,http://localhost:8082/update?x=albums,,6,1,0,0,2
1624855182125,87,Upadate Album-1,200,,jp@gc - Stress Thread Group 1-150,text,true,,5361,269,32,32,http://localhost:8082/css/style.css,,3,1,0,0,0
1624855182212,178,Upadate Album-2,200,OK,jp@gc - Stress Thread Group 1-150,text,true,,161432,165,32,32,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,,82,1,0,0,56
1624855182391,8,Upadate Album-3,200,,jp@gc - Stress Thread Group 1-150,bin,true,,38483,133,32,32,http://localhost:8082/img/choonzimg.png,,6,1,0,0,0
1624855182399,8,Upadate Album-4,200,,jp@gc - Stress Thread Group 1-150,text,true,,3097,128,32,32,http://localhost:8082/js/update.js,,8,1,0,0,0
1624855182407,4,Upadate Album-5,200,,jp@gc - Stress Thread Group 1-150,text,true,,1245,128,32,32,http://localhost:8082/js/mutual.js,,4,1,0,0,0
1624855182412,279,Upadate Album-6,200,OK,jp@gc - Stress Thread Group 1-150,text,true,,72838,141,32,32,https://code.jquery.com/jquery-3.5.1.slim.min.js,,232,1,0,0,202
1624855182691,247,Upadate Album-7,200,OK,jp@gc - Stress Thread Group 1-150,text,true,,22194,161,32,32,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,,245,1,0,0,133
1624855182939,89,Upadate Album-8,200,OK,jp@gc - Stress Thread Group 1-150,text,true,,61156,163,32,32,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,,82,1,0,0,0
1624855182188,1058,Upadate Album,200,,jp@gc - Stress Thread Group 1-75,text,true,,369278,1419,36,36,http://localhost:8082/update?x=albums,,4,1,0,0,1
1624855182188,4,Upadate Album-0,200,,jp@gc - Stress Thread Group 1-75,text,true,,3393,131,36,36,http://localhost:8082/update?x=albums,,4,1,0,0,1
